Image,Time (Transformer),Time (Blocklist + Transformer + Grayscale),Output (Transformer),Output (Blocklist + Transformer + GrayScale),Time (Preprocessing for grayscale)
setup_ocr (ru_en),2.3438,2.1284,,,
setup_ocr (ru),2.2232,2.1007,,,
setup_ocr (en),2.0988,2.1182,,,
rus7.png,0.8440,0.7495,"ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК","ничего себе! у неё 4 кампуса! школд ₽ 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скидик и бюджетик дал мне скидку вы видели? государственный вуз! скидик и бюджетик она хочет от меня результатов олимпиад сладкий скидик",0.0304
rus6.png,0.3013,0.3015,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,ЈтЏ Ғ пІІЈІІЊ ҒІІІ |д |ІвыІӢ гІд пӮтЏІӢ ₽Ғ3 3Ғ ҚЄҲІІЊ пӮ [Є мЏ [ята #l,0.0061
rus4.png,0.5987,0.5813,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.","пнҒ: 0 ""ЏӮш ЁЄдь {#@[ шмІІЏж; я: 0.25 Ќонь бьёт дерево, пердит на собаку и убегает.",0.0129
eng_rus3.png,0.6848,0.6588,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел","@tlmemesbol Јн вам e 5еляш @^ntongelyayev1 ну как бы вот да ты себе уже поставил цели на 2024 год? Ќонечно 1 Єнова стать худым и атлетичным; каким был до несчастного случая 2. перестать называть несчастным случаем то, что я разжирел",0.0076
rus1.png,8.0090,7.5004,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека,Ќогда предмет ведут ещё с февраля; но ты только сейчас решил сходить на эту лекцию @ @5ы78 ~ 8еx ~,0.1435
eng_rus2.png,0.6645,0.3762,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,[wck шкӀл4 ^ӀІлиз4 дІнӀых 6 4ЏЏ.Ү ҚӢ.ІЁs &s: ^l asters,0.0093
rus2.png,0.4199,0.3258,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,в детстве: должен всё понимать сейчас: хаха; я люблю мемы,0.0116
rus3.png,0.1345,0.1126,ДВл,[рҒ,0.0093
rus8.png,0.6978,0.6183,"Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и","5лин, он не отвечает.. Қаверное опять co своими шлюхами пm #каl: 1,-шw танg? w 4 "" 1 ₽ кІҚ[скІзІть %то 8 ӨтпӮЄк [ыв эҐом [оду н= ЄдЁм? 'ircin =и",0.0226
rus_eng4.png,0.7085,0.6503,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет,дипмиссия Ӯругвая @think_not_think очень простой лайфхак для любителей гречки простозаверните канютречинку в фолыу итогдак кастрюле она не прилишнет,0.0128
rus9.png,0.1818,0.1479,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,0.0022
eng2.png,0.2454,0.2504,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E","oool ^n artist! wow 1wonder what he's drawing is he drawing me?? hal8 womax: mid 30*$ [agine red great smile pur? e [brow% jeans , sweatr  cross ratching {penci sketch - tech)iqu€ ",0.0098
eng_rus.png,3.1619,7.2036,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,я перед любым важным делом 4x ₽o<^<< 35 cl 12oz 2 9 2nnsaig 21412 @Љe@k^@kh 7x pokuril,0.0550
eng1.png,0.6908,0.3260,When you are gonna merge two branches after long time . @catda mentos,when you are gonna merge two branches after long time . @ccatcta mentos,0.0196
Mean,1.2387785714285715,1.4144714285714284,,,0.02519285714285714
Median,0.67465,0.47875,,,0.012199999999999999
