Image,Time (Standard),Time (GrayScale),Output (Standard),Output (GrayScale),Time (Preprocessing for grayscale)
setup_ocr (ru_en),2.1291,2.0580,,,
setup_ocr (ru),2.0765,2.0962,,,
setup_ocr (en),2.0554,2.1263,,,
rus7.png,0.9009,0.7481,"ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК","ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК",0.0292
rus6.png,0.3056,0.2758,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,0.0062
rus4.png,0.6067,0.5655,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.","ПНА: 0 ""ЫЧШ ШИЕЧДЫ ЕШЕШП ШЯЖМАШЫЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.",0.0129
eng_rus3.png,0.6718,0.6583,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел","@tlmemesbol Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел",0.0080
rus1.png,9.1729,7.0606,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию @ @БЫИ8 ~ Век ~,0.1457
eng_rus2.png,0.4378,0.3449,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,0.0085
rus2.png,0.4179,0.3254,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,0.0117
rus3.png,0.1408,0.1082,ДВл,ДВА,0.0095
rus8.png,0.6796,0.6456,"Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и","Блин, он не отвечает.. Наверное опять со своими шлюхами ПБ #КЕЦ: 1,-ш тан:? # 4 "" 1 ₽ КАКЕЙСКАЗАТЬ ЧТО В ОТПУСК МЫВ ЭТОМ [ОДУ НЕ ЕДЕМ? 'г;п =и",0.0216
rus_eng4.png,0.7265,0.6409,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните канютречинку в фолыу Итогдак кастрюле она не прилишнет,0.0119
rus9.png,0.1863,0.1485,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,0.0023
eng2.png,0.2499,0.2233,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E","oool AN ArtiSt! WOW Iwonder WHAT HE'S DRAWinG iS HE DRAwiNG ME?? HaIR WOMAX: MID 30*$ [MAGINE RED GREAT SMILE PURPLE LBROWM JEANS , SWEATER  crOSS RATCHING {PENCIL SKETCH - TECHNIQUE ",0.0097
eng_rus.png,3.7829,8.4886,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 2 9 Znnsaig 21412 @LEPRAGRAM Zx pokuril,0.0545
eng1.png,0.4606,0.3264,When you are gonna merge two branches after long time . @catda mentos,When you are gonna merge two branches after long time . Gcatcta mentos,0.0197
Mean,1.3385857142857145,1.4685785714285713,,,0.0251
Median,0.53365,0.4552,,,0.011800000000000001
