Image,Time (Standard),Time (Transformer + Grayscale),Output (Standard),Output (Transformer + GrayScale),Time (Preprocessing for grayscale)
setup_ocr (ru_en),2.1374,2.0503,,,
setup_ocr (ru),2.0678,2.0468,,,
setup_ocr (en),2.0548,2.0514,,,
rus7.png,1.5006,0.9163,"ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК","ничего себе! у неё 4 кампуса! ШКолА В 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК",0.0295
rus6.png,0.5049,0.2783,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,ЗТП Я ППКЧПАН ЯЛКП НП НПВЫЙ ГПД ПЯТЫЙ ППЗ 3Я НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,0.0064
rus4.png,0.7721,0.5695,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАШЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.","ПНА: 0 ""ЫЧШ ШИЕЧДЫ ЕШЕШП ШЯЖМАШЫЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.",0.0121
eng_rus3.png,0.6777,0.6581,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел","@tlmemesbol Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел",0.0074
rus1.png,3.8799,3.2421,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (о5ч [ека,Когда предмет ведут ещё с февраля; НО Ты ТОЛЬКО сейчас решил сходить на эту лекцию @ @БЫИ8 ~ Век ~,0.1531
eng_rus2.png,0.5983,0.3541,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,0.0085
rus2.png,0.5253,0.3229,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,0.0113
rus3.png,0.3105,0.1078,ДВл,ДВА,0.0093
rus8.png,0.7573,0.6108,"Блин, он не отвечает.. Наверное опять со своими шлюхами ПЕБ;#ЕЦ: 1ш та:? #Ц 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ НЕ ЕДЕМ? 'г-п =и","Блин, он не отвечает.. Наверное опять со своими шлюхами ПБ #КЕЦ: 1,-ш тан:? # 4 "" 1 ₽ КАКЕЙСКАЗАТЬ ЧТО В ОТПУСК МЫВ ЭТОМ [ОДУ НЕ ЕДЕМ? 'г;п =и",0.0234
rus_eng4.png,0.9578,0.6499,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните канютречинку в фолыу Итогдак кастрюле она не прилишнет,0.0113
rus9.png,0.3930,0.1637,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,0.0021
eng2.png,0.3070,0.2290,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E","oool AN ArtiSt! WOW Iwonder WHAT HE'S DRAWinG iS HE DRAwiNG ME?? HaIR WOMAX: MID 30*$ [MAGINE RED GREAT SMILE PURPLE LBROWM JEANS , SWEATER  crOSS RATCHING {PENCIL SKETCH - TECHNIQUE ",0.0097
eng_rus.png,3.9008,7.1178,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 2 9 Znnsaig 21412 @LEPRAGRAM Zx pokuril,0.0574
eng1.png,0.7541,0.3532,When you are gonna merge two branches after long time . @catda mentos,When you are gonna merge two branches after long time . Gcatcta mentos,0.0196
Mean,1.1313785714285713,1.1123928571428572,,,0.025792857142857145
Median,0.7159,0.4618,,,0.0113
