Image,Time (Standard),Time (Transformer + Grayscale),Output (Standard),Output (Transformer + GrayScale),Time (Preprocessing for grayscale)
setup_ocr (ru_en),2.3664,2.1264,,,
setup_ocr (en),2.0633,2.1647,,,
rus7.png,2.0440,0.8860,"ничего себе! у неё 4 кампуса! ШКолА R 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК","ничего себе! у неё 4 кампуса! ШКолА R 2 Ё я посмотрел эту картинку и возбудился, сейчас вот бы потрогать её буду подавать а потом потрогать документы свои баллы егэ я бы хотел чтобы такой вуз у неё скиДИК и бюджетик дал мне скидку вы видели? государственный вуз! СКИДИК И бюджетик она хочет от меня результатов олимпиад сладкий сКИДИК",
rus6.png,0.3442,0.3145,ЗТП Я ППКЧПАН ЯЛКП НA НПВЫЙ ГПД ПЯТЫЙ FHZ 3H НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,ЗТП Я ППКЧПАН ЯЛКП НA НПВЫЙ ГПД ПЯТЫЙ FHZ 3H НЕДЕЛШ ПЕ [ПМ МЫ [ЯТЕ ШШ,0.0298
rus4.png,0.7140,0.6254,"ПНА: 6 ""ЫЧШ ШИЕЧДЫ ЗШШП ШЯЖМАUЯЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.","ПНА: 0 ""ЫЧШ ШИЕЧДЫ ЕШЕШП ШЯЖМАUЫЖН Я: 0.25 Конь бьёт дерево, пердит на собаку и убегает.",0.0071
eng_rus3.png,0.7758,0.6941,"lniittmemeshat Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел","@tlmemesbol Он Вам He Беляш @AntonBelyayev1 ну как бы вот да Ты себе уже поставил цели на 2024 год? Конечно 1 Снова стать худым и атлетичным; каким был до несчастного случая 2. Перестать называть несчастным случаем тО, ЧТО Я разжирел",0.0119
rus1.png,5.3225,8.3136,Когда предмет ведут ещё с февраля; HО Ты ТОЛЬКО сейчас решил сходить на эту лекцию (o5ч [ека,Когда предмет ведут ещё с февраля; HО Ты ТОЛЬКО сейчас решил сходить на эту лекцию @ @БЫИ8 ~ Веx ~,0.0077
eng_rus2.png,0.6054,0.3367,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,FUCK ШКОЛА АНАЛИЗА ДАННЫХ 6 ALLMY HOMIES USE AlMasters,0.1435
rus2.png,0.4201,0.3210,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,В детстве: должен всё понимать сейчас: Хаха; я люблю мемы,0.0084
rus3.png,0.1374,0.1060,ДВл,ДВА,0.0118
rus8.png,0.8064,0.6140,"Блин, он не отвечает.. Наверное опять co своими шлюхами ПЕm;#ЕЦ: 1шw таg? #U 1 + КАК ЕСКАЗАТЬ ЧТО В ОТПУСК МЫ В ЭТОМ [ОДУ HE ЕДЕМ? 'ircln =и","Блин, он не отвечает.. Наверное опять co своими шлюхами Пm #КЕЦ: 1J-шw танg? w 4 "" 1 ₽ КАКЕЙСКАЗАТЬ ЧТО В ОТПУСК МЫВ ЭТОМ [ОДУ HE ЕДЕМ? 'Tircin =и",0.0095
rus_eng4.png,0.7955,0.6439,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните кавуютречинку в фолыу Итогдк кастрюле она не прилипнет,Дипмиссия Уругвая @think_not_think Очень простой лайфхак для любителей гречки Простозаверните канютречинку в фолыу Итогдак кастрюле она не прилишнет,0.0219
rus9.png,0.1880,0.1501,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,Он просто сидит тут уже третью неделю и говорит; что саморазвивается через айти-подкасты,0.0131
eng2.png,0.3064,0.2574,"ooo! AN Artist WOW Iwonder WHAT HE'S DRAWiNG iS HE DRAwiNG ME?? [IMAGINE RED 'MID 30*$ Hair WOMAN [ GREAT SMILE PURPLE LBROWM JEANS , SWEATER  ~cross HatchING {PENCIL SKETCH - ~TECHNIQUE E","oool AN ArtiSt! WOW Iwonder WHAT HE'S DRAWinG iS HE DRAwiNG ME?? HaIR WOMAX: MID 30*$ [MAGINE RED GREAT SMILE PURPLE LBROWM JEANS , SWEATER  crOSS RATCHING {PENCIL SKETCH - TECHNIQUE ",0.0021
eng_rus.png,5.6165,15.4485,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 9 znaGaibg 21412 @LEPRAGRAM + Zx pokuril,Я перед любым важным делом 4x POKAKAL 35 cl 12oz 2 9 Znnsaig 21412 @LEPRAGRAM Zx pokuril,0.0096
eng1.png,0.5672,0.3847,When you are gonna merge two branches after long time . @catda mentos,When you are gonna merge two branches after long time . Gcatcta mentos,0.0540
Mean,1.276876923076923,2.1699923076923073,,,0.0209
Median,0.6054,0.3847,,,0.025092857142857142
