id,idn,sim
5012162,475990,0.8
3029492,1531348,0.8
1407693,6594,0.8
4062203,112348,0.8
7085824,1299509,0.8
1820525,1471444,0.8
7062879,1084698,0.8
4281807,1194950,0.8
3060807,1588884,0.8
1407693,5348,0.8
2958781,2958582,0.8
5386922,4860859,0.8
3556472,2554578,0.8
5981981,5904404,0.8
3358522,2490612,0.8
6243424,3763298,0.8
3485827,3432906,0.8
4175863,4075357,0.8
6275189,6253971,0.8
5130672,5021571,0.8
5314706,5021571,0.8
6339449,6195001,0.8
5859368,5669818,0.8
4902261,4820749,0.8
5908683,5272287,0.8
6022630,6018119,0.8
6531770,6401611,0.8
5999113,5651946,0.8
6695155,6004068,0.8
6324678,6307155,0.8
6253971,6158875,0.8
6717141,6552965,0.8
5611421,5579371,0.8
1734025,151,0.8
1203129,44878,0.8
4767655,129622,0.8
786980,276957,0.8
2652541,204484,0.8
6279055,2554848,0.80124223
1017546,24858,0.80124223
1064403,986983,0.80128205
5729240,5182699,0.80136985
5990542,5772508,0.8014184
543030,300874,0.8015267
6111754,5886038,0.8016529
727053,492955,0.80213904
1185648,1173747,0.80246913
5561902,1179490,0.80263156
4252305,3949600,0.80263156
5895514,5457592,0.80263156
3001358,276957,0.80263156
6730974,5085400,0.8028169
6409614,3346259,0.8029197
313193,5439,0.8030303
4767318,4688021,0.8030303
6925,5563,0.8030303
2490529,563058,0.8032787
2214327,1972567,0.8032787
4322077,2963069,0.8032787
6730963,6076066,0.8032787
3502571,1084434,0.8035714
1084434,1064315,0.8035714
2367200,996255,0.8035714
33771,13722,0.8035714
3350455,195,0.8036364
3858184,1829567,0.8037383
6961209,6922700,0.8038462
3776555,3684597,0.8039216
6427676,2922086,0.8039216
4309103,4255436,0.8039216
5801435,4302542,0.8039216
6912842,6584338,0.8039216
961276,756353,0.8040541
1513730,1408815,0.8041237
4473558,4336207,0.8041958
5991801,4974644,0.8041958
3323721,1093769,0.8043478
2699779,1161168,0.8043478
3640188,2904728,0.8043478
6548549,5859970,0.8045977
5720096,5679798,0.8045977
1357799,1161153,0.80487806
1768358,1713618,0.80487806
4183845,4106978,0.80487806
6805964,6266205,0.80487806
5596887,91668,0.8051948
4545730,3989044,0.8051948
5443946,5398947,0.8051948
2790841,2713082,0.8052805
