id,idn,sim
9941,9940,1.0
6524,6523,1.0
10234,10233,1.0
6507,6506,1.0
9786,9785,1.0
5446,5445,1.0
9773,9772,1.0
10212,10211,1.0
5296,5295,1.0
9762,6547,1.0
10170,10169,1.0
1209590,1193897,1.0
6495,6494,1.0
1085970,835709,1.0
6516,6515,1.0
5291,5290,1.0
6433,6432,1.0
9976,9975,1.0
6596,6595,1.0
5323,5322,1.0
5317,5316,1.0
9954,9953,1.0
9805,6548,1.0
6558,6557,1.0
6567,6566,1.0
6436568,6422478,1.0
3312290,3294184,1.0
6416094,5535137,1.0
6598962,6597952,1.0
3306985,2831613,1.0
5895520,5895287,1.0
7098,268,1.0
10096,5561,1.0
6550,94,1.0
5363,5362,1.0
9904,9903,1.0
6485,6484,1.0
6693,6642,1.0
9930,9929,1.0
5370,5369,1.0
80883,43595,1.0
10109,10107,1.0
10192,10191,1.0
5435,5434,1.0
5414,5413,1.0
10049,10048,1.0
5397,5396,1.0
10223,10222,1.0
5305,5304,1.0
10151,10150,1.0
6474,6473,1.0
