"id","idn","sim"
5561902,1179490,0.80263156
6423027,385614,0.82758623
6419546,6727,0.8292683
786335,10042,0.8767123
9941,9940,1
1086397,612441,0.8666667
1056466,1031014,0.8125
689278,58823,0.8532609
313193,5439,0.8030303
6524,6523,1
576945,575459,0.877551
578821,575459,0.8979592
2069724,1200787,0.8863636
7042586,1871827,0.8148148
3311380,10073,0.95057034
2792085,1195572,0.8695652
1843848,1600951,0.8135593
3350781,1095009,0.8979592
10234,10233,1
2629386,12699,0.8918919
1197229,1197213,0.9
6507,6506,1
9786,9785,1
656641,504479,0.8181818
969769,12748,0.81578946
5244805,508875,0.83076924
961277,664842,0.84177214
570547,311142,0.8428571
1582461,12686,0.8780488
218317,6636,0.83870965
680858,6636,0.824
4591226,194488,0.8770492
5446,5445,1
961276,756353,0.8040541
9773,9772,1
6633055,9921,0.85507244
10212,10211,1
5596887,91668,0.8051948
3284969,107662,0.8076923
793428,308998,0.8678414
109480,71525,0.8227848
2629381,12713,0.875
6313290,1271156,0.8490566
4581033,195588,0.8494624
1239256,1235711,0.81640625
5296,5295,1
661242,5295,0.8333333
1194181,5295,0.8333333
9762,6547,1
475930,397888,0.83076924
6129334,512667,0.84246576
2190513,1194974,0.85106385
656362,397888,0.8196721
1200003,397888,0.9137931
1695693,397888,0.8548387
1224441,812280,0.8181818
1220485,570425,0.8333333
2816780,6427,0.88
4564055,1193166,0.8095238
5333618,1193166,0.875
914304,529316,0.8742138
3776633,3737054,0.83168316
807810,349803,0.8227848
1210038,349803,0.85350317
5912089,349803,0.84076434
1543771,516840,0.85775864
6022309,1396497,0.875
3069269,3027478,0.81474483
3115326,3027478,0.8708415
5350012,398060,0.8382353
1761265,1653413,0.8508065
321242,268872,0.88324875
6415579,398060,0.90909094
504806,311032,0.88073397
2708905,966962,0.8090909
10073,6922,0.9653846
3311380,6922,0.9459459
19746,9610,0.8305085
611486,521641,0.8873239
2066639,1197412,0.8064516
4252305,3949600,0.80263156
98250,6735,0.8181818
10170,10169,1
2944479,595748,0.8677686
3307669,386094,0.8333333
7118265,6804506,0.8130081
6437520,9629,0.86585367
1004234,6483,0.8888889
2219033,12706,0.85
4804715,9715,0.87234044
1968400,876988,0.89361703
3010335,9474,0.8684211
4988031,71700,0.8648649
106289,6996,0.80582523
5685842,4031506,0.85714287
6947754,3644552,0.88372093
